article_id,article_name,target_fill_rate,realized_fill_rate,total_demand,filled_demand,lost_sales,avg_on_hand,orders_placed,units_ordered,avg_R,Q
1247,Gift cards,0.998951416015625,1.0,0,0,0,3049.0,0,0,49.0,3000
1248,Coffee makers and kettles,0.998951416015625,0.9895589558955895,22220,21988,232,913.1491712707183,81,22680,1638.5414364640883,280
1253,Frying pans,0.998951416015625,1.0,5926,5926,0,543.9116022099447,25,6000,645.1602209944751,240
1258,Reading glasses,0.998951416015625,1.0,553,553,0,2617.441988950276,0,0,403.6574585635359,2500
1259,Serve and present,0.998951416015625,1.0,3574,3574,0,2591.265193370166,3932,3932,4402.519337016574,1
1260,Serve and present,0.998951416015625,1.0,1373,1373,0,1960.3867403314916,1988,1988,2860.060773480663,1
1261,Reading glasses,0.998951416015625,1.0,3676,3676,0,2918.480662983425,1,2500,2519.1049723756905,2500
1262,Construction,0.998951416015625,1.0,274,274,0,94.05524861878453,284,284,113.49723756906077,1
1263,Tableware,0.998951416015625,1.0,2850,2850,0,2261.6187845303866,107,2568,3429.0055248618783,24
1264,Tableware,0.998951416015625,1.0,2657,2657,0,1906.8176795580112,1483,2966,3449.1546961325967,2
1272,Hobby and creative,0.998951416015625,0.9574647547897337,16598,15892,706,558.707182320442,1973,15784,1246.6408839779006,8
1282,Table paper,0.998951416015625,1.0,17848,17848,0,6446.458563535912,48,15840,8452.883977900552,330
1283,Measuring and weighing,0.998951416015625,1.0,17922,17922,0,9412.883977900552,6,13824,14017.447513812154,2304
1284,Ironing boards,0.998951416015625,0.9948700410396717,5848,5818,30,124.0,164,5904,201.78453038674033,36
1286,Ironing boards,0.998951416015625,1.0,16453,16453,0,4511.0,4,13440,6394.281767955801,3360
1288,Drying racks,0.998951416015625,1.0,4537,4537,0,5145.226519337017,4,4800,6543.419889502762,1200
1289,Bicycle accessories,0.998951416015625,0.9998093058733791,5244,5243,1,440.25414364640886,8,4800,316.9889502762431,600
1290,Window and squeegees,0.998951416015625,0.9411811008127201,50817,47828,2989,3310.8121546961324,93,37200,7376.292817679558,400
1293,Table textiles,0.998951416015625,1.0,904,904,0,184.1988950276243,3,864,67.96685082872928,288
