article_id,article_name,total_demand,demand_satisfied_from_stock,achieved_fill_rate,target_fill_rate,slow_mover,purchasing_cost,holding_cost,total_cost
1470,Cleaning products,7796,7796,1.0,0.96875,false,29580.6,78.6670636550308,29659.26706365503
1471,Window and squeegees,10616,10616,1.0,0.9999847412109375,false,3738507.8500000015,30961.48583162216,3769469.3358316235
1474,Ironing,6607,4373,0.661873770243681,0.9999999990686774,false,2425635.0300000003,65954.79770102672,2491589.827701027
1477,Frying pans,1118,630,0.5635062611806798,0.9999999990686774,false,270731.41199999995,2130.9195490759776,272862.33154907596
1490,Easter,22451,20726,0.9231660059685537,0.9999999990686774,false,347816.30100000004,12049.945171663207,359866.2461716632
1508,Teletoys,946,946,1.0,0.875,false,27407.41499999999,167.01198234086243,27574.426982340854
1512,Hobby and creative,304,304,1.0,0.75,true,5567.561999999996,37.30308911704312,5604.865089117039
1514,Tableware,2077,2077,1.0,0.9375,false,18553.164000000004,83.05608377823404,18636.220083778237
1527,Wash treatment and accessories,8366,6880,0.8223762849629452,0.9999999990686774,false,224370.62200000003,5203.323761396297,229573.94576139632
1531,Drink & food To Go,1940,1940,1.0,0.5,false,155370.474,2549.9206275154006,157920.3946275154
1533,"Cloths, mops, sponges and brush",12046,12046,1.0,0.984375,false,423916.528,1851.145130184805,425767.6731301848
1537,Cutlery,3376,3376,1.0,0.9921875,false,290416.52499999985,1023.2318850102666,291439.7568850101
1538,Drying racks,26,26,1.0,0.75,false,1887612.2999999998,9341.664320328424,1896953.9643203283
1540,Bicycle accessories,1653,1653,1.0,0.9375,true,68368.545,1834.289000821362,70202.83400082136
1545,Table textiles,759,759,1.0,0.9375,true,35227.689,909.7414743326484,36137.43047433265
1548,Ironing board textiles,33710,33710,1.0,0.9999961853027344,false,1382799.1450000003,8021.8044024640685,1390820.9494024643
1559,Tea and coffee,17942,17942,1.0,0.9999998807907104,false,277005.32999999996,1471.1694024640665,278476.499402464
1561,Tea and coffee,502,502,1.0,0.875,false,407190.4900000001,436.63707392197136,407627.1270739221
1564,Tableware,6517,6517,1.0,0.9921875,false,52698.716,512.6730488706364,53211.38904887064
1570,Kitchen tools,523,523,1.0,0.5,false,10634.890000000003,173.82335318275165,10808.713353182755
1571,Tableware,3657,3657,1.0,0.984375,false,13245.679999999997,40.5562751540041,13286.236275154
1575,"Cloths, mops, sponges and brush",2108,2108,1.0,0.9375,false,94254.21599999999,274.7548640657083,94528.97086406569
1582,Light bulbs,7425,7425,1.0,0.9375,false,28190.833999999995,60.29681560574946,28251.130815605746
1584,Light bulbs,845,845,1.0,0.984375,false,14973.797999999997,121.90255071868584,15095.700550718682
1585,Boys toys,1697,1697,1.0,0.9921875,false,47978.679,440.19012731006154,48418.869127310056
1589,Planks,346,346,1.0,0.75,false,28984.43099999999,93.44752484599591,29077.878524845986
1593,Puzzles,510,510,1.0,0.75,false,32732.315000000002,138.86995277207402,32871.18495277208
1597,Hobby and creative,3078,3078,1.0,0.5,false,141758.44199999998,8730.868646406572,150489.31064640655
1605,Puzzles,4065,4065,1.0,0.999755859375,false,52210.87200000001,129.13349322381927,52340.00549322383
1606,Games,5212,5212,1.0,0.9999998807907104,false,60397.88999999998,403.1531186858316,60801.04311868581
1607,Hobby and creative,3304,3304,1.0,0.5,false,64797.705,3934.056336344968,68731.76133634496
1612,Foodprep,20935,20935,1.0,0.5,false,11029810.210999997,1072593.0346648858,12102403.245664883
1617,"Glasses (drink, beer, wine etc)",1191,1191,1.0,0.9375,false,18696.93,148.95989938398358,18845.889899383983
1618,"Glasses (drink, beer, wine etc)",13542,13542,1.0,0.9999999925494194,false,92639.81999999999,996.5281067761804,93636.34810677617
1619,Residential odors,233,233,1.0,0.75,false,41429.24799999992,56.8023523613962,41486.050352361315
1621,Waste bins,2342,1385,0.5913748932536294,0.9999999990686774,true,108127.59999999998,2649.1310266940486,110776.73102669402
1623,Kitchen helpers,15885,15885,1.0,0.5,false,364521.1500000001,7013.800909650918,371534.950909651
1624,Cutlery,24225,24225,1.0,0.9999999990686774,false,277025.69999999995,7571.904657084193,284597.60465708416
1626,Drying racks,13613,13613,1.0,0.9921875,false,2725198.3500000006,6064.129995071863,2731262.4799950724
1631,Tea and coffee,22966,22966,1.0,0.5,false,586798.632,30320.788345379886,617119.4203453799
1636,Tableware,195,195,1.0,0.75,true,58152.27599999996,392.79879055441467,58545.074790554376
1637,Tea and coffee,12599,12599,1.0,0.875,false,522366.894,22301.299379055472,544668.1933790555
1643,Light bulbs,9442,9442,1.0,0.875,false,43285.19999999999,53.3241889117043,43338.524188911695
1646,Tea and coffee,63365,63365,1.0,0.75,false,530693.0089999997,3784.1098825461995,534477.118882546
1650,Hobby and creative,11074,11074,1.0,0.75,false,573105.2249999996,3224.03664271047,576329.2616427101
1661,Coffee makers and kettles,2701,1787,0.6616068122917438,0.9999999990686774,true,494124.5819999999,28081.439348254575,522206.02134825446
1662,Batteries,19629,19629,1.0,0.9998779296875,false,480625.1450000003,1056.1847084188905,481681.3297084192
1663,Hobby and creative,389,389,1.0,0.75,true,5023.984,15.727375770020535,5039.711375770021
1665,Bakeware,25086,23877,0.951805788088974,0.9999999990686774,false,571707.3669999996,7515.5354049281295,579222.9024049278
1666,Electric personal care,74624,74624,1.0,0.75,false,8839981.122,59337.88863572898,8899319.010635728
1668,"Cloths, mops, sponges and brush",132035,106885,0.8095202029764835,0.9999999990686774,false,2662029.272,16899.063709650913,2678928.335709651
1669,Store kitchen,8023,8023,1.0,0.99609375,false,420329.945,1520.8167774127298,421850.7617774127
1670,Bathroom accessories,3440,3440,1.0,0.96875,true,56674.527,482.5386928131431,57157.06569281314
1672,Watering cans,78661,78418,0.9969107944216321,0.9999999990686774,false,887868.9119999999,17095.49607967144,904964.4080796713
1675,Baskets,14826,14826,1.0,0.998046875,false,112328.48199999999,356.993600821355,112685.47560082134
1678,Wash treatment and accessories,3277,3277,1.0,0.99609375,false,64331.22500000003,278.98140657084184,64610.20640657087
1679,Cleaning products,6798,6798,1.0,0.998046875,false,364363.99999999977,1290.0335244353168,365654.0335244351
1680,Cleaning products,93767,85617,0.9130824277197734,0.9999999990686774,false,865821.2430000001,5155.8033314168415,870977.0463314169
1681,Cleaning products,9638,9638,1.0,0.9999997615814209,false,145958.085,2421.5561310061566,148379.64113100615
1688,Personal care,158518,120281,0.7587844913511399,0.9999999990686774,false,530459.1179999998,4778.050320739219,535237.1683207391
1689,Personal care,174664,174664,1.0,0.875,false,10139028.059999999,135006.20057494863,10274034.260574948
1693,Coffee makers and kettles,11342,11089,0.9776935284782226,0.9999999990686774,false,2018963.0439999953,12866.249700205322,2031829.2937002007
1694,Electric personal care,71697,62755,0.8752806951476352,0.9999999990686774,false,5457487.202999997,63084.92998521556,5520572.132985213
1711,Small garden,7132,7132,1.0,0.5,false,53294.08699999999,811.5912258726901,54105.67822587268
1724,Candles & Tealights,366,366,1.0,0.75,true,55019.692,568.5079063655025,55588.1999063655
1738,Partyfun,38737,38737,1.0,0.999755859375,false,47200.06200000002,75.83704558521552,47275.89904558523
1739,Vases,5588,5558,0.9946313528990695,0.9999999990686774,false,103331.10199999994,557.1106989733061,103888.21269897325
1753,Others,1373,1373,1.0,0.96875,false,48269.969999999994,232.68629568788486,48502.65629568788
1760,Kitchen tools,172,172,1.0,0.875,true,11206.202,158.0280616016426,11364.230061601642
1762,Teletoys,337,337,1.0,0.96875,false,5078.15,49.0429659137577,5127.192965913758
1763,Hobby and creative,16,16,1.0,0.5,true,1877.4209999999998,163.81098726899364,2041.2319872689934
1764,Hobby and creative,235,235,1.0,0.5,true,106370.73300000001,8297.105174537977,114667.83817453799
1766,Puzzles,37,37,1.0,0.5,true,8668.835000000001,20.06802833675573,8688.903028336757
1771,Cleaning products,7304,7304,1.0,0.99951171875,false,280098.1260000001,3551.2025018480517,283649.32850184815
1772,Window and squeegees,22402,22254,0.9933934470136595,0.9999999990686774,false,1355363.7020000014,5007.487558521562,1360371.189558523
1773,Cleaning products,2604,2604,1.0,0.984375,false,36172.206,817.057185215605,36989.263185215605
1774,"Cloths, mops, sponges and brush",6943,6943,1.0,0.75,false,248630.45899999992,4656.577719507186,253287.0367195071
1783,Personal care,261084,253941,0.9726409891069541,0.9999999990686774,false,1084513.7380000004,4367.770233264887,1088881.5082332653
1784,Cutlery,4160,4160,1.0,0.99609375,false,144865.2660000001,394.2937203285418,145259.55972032863
1786,Racks and pockets,26438,26438,1.0,0.5,false,8953552.810999999,708263.2056751536,9661816.016675152
1787,Stairs,9565,9565,1.0,0.9999999990686774,false,1322193.8729999987,10366.112144147844,1332559.9851441465
1795,"Cloths, mops, sponges and brush",2776,2776,1.0,0.96875,false,20381.746,126.7632213552361,20508.509221355234
1797,Kitchen textile,4896,4896,1.0,0.984375,false,89332.18,296.6251006160162,89628.80510061601
1799,Bath textiles and bath mats,69817,69817,1.0,0.5,false,590043.3,12202.233552361398,602245.5335523614
1806,Mugs and cups,54526,54526,1.0,0.5,false,24412595.599000003,2723641.1640657117,27136236.763065714
1813,Tea and coffee,17580,17312,0.9847554038680318,0.9999999990686774,false,361526.94899999985,2269.102461190965,363796.0514611908
1815,Light bulbs,1805,1805,1.0,0.9375,false,14164.499999999998,40.79849527720741,14205.298495277206
1821,"Glasses (drink, beer, wine etc)",24,24,1.0,0.5,true,5880.588000000002,22.81053634496915,5903.398536344971
1823,Drinks,467,467,1.0,0.75,false,29023.105999999992,203.5821067761805,29226.68810677617
1826,"Cloths, mops, sponges and brush",691,691,1.0,0.5,false,39013.352,152.1677995893222,39165.51979958932
1828,Foods,79,79,1.0,0.5,false,19350.20500000001,26.06936262833676,19376.274362628345
1829,"Glasses (drink, beer, wine etc)",1635,1635,1.0,0.99609375,false,9109.946999999998,60.62016098562631,9170.567160985625
1831,Bakeware,417,417,1.0,0.875,true,33468.43499999999,165.27599383983573,33633.71099383983
1832,Tableware,5985,5985,1.0,0.99951171875,false,80221.21100000001,445.5464496919923,80666.757449692
1833,Special pans,482,482,1.0,0.984375,true,106920.70199999999,787.1858164271043,107707.8878164271
1850,Girls toys,833,833,1.0,0.9375,true,49497.35000000002,155.55298521560564,49652.90298521562
1862,Coffee makers and kettles,210,210,1.0,0.5,false,65989362.39,15187007.788796714,81176370.17879671
1868,Small storage,26244,26244,1.0,0.9990234375,false,186870.2919999999,692.1944969199182,187562.48649691982
1872,Toilet accessories,11682,11682,1.0,0.9999999990686774,false,534271.8149999997,4498.382661190956,538770.1976611906
1874,Serve and present,619,619,1.0,0.99609375,false,13180.299999999997,87.63935318275156,13267.939353182748
1876,Bathroom accessories,635,635,1.0,0.875,false,16823.652999999995,37.536535523613914,16861.18953552361
1878,Bathroom accessories,1466,1466,1.0,0.9375,false,23755.28400000001,63.288808213552365,23818.572808213565
1879,Travel accessories,565,565,1.0,0.984375,false,9149.909999999998,106.6166981519507,9256.526698151949
1880,Laundry baskets,20385,17175,0.8425312729948492,0.9999999990686774,false,1841674.3869999996,8458.713570841883,1850133.1005708415
1882,Baskets,17633,17633,1.0,0.9921875,false,215069.00099999996,547.8321659137574,215616.8331659137
1883,Baskets,10058,10058,1.0,0.99609375,false,77625.62499999997,166.49550308008207,77792.12050308005
