article_id,article_name,target_fill_rate,realized_fill_rate,total_demand,filled_demand,lost_sales,avg_on_hand,orders_placed,units_ordered,avg_R,Q
1111,Puzzles,0.9989270019531249,1.0,92,92,0,34.828729281767956,96,96,30.46961325966851,1
1126,Table paper,0.9989270019531249,1.0,3940,3940,0,3933.657458563536,3,3024,3623.950276243094,1008
1127,Table paper,0.9989270019531249,1.0,16478,16478,0,796.7790055248619,16,16128,896.5690607734807,1008
1129,Kitchen tools,0.9989270019531249,0.9969844195007539,5969,5951,18,314.6795580110497,11,5720,144.20994475138122,520
1131,Bicycle accessories,0.9989270019531249,1.0,5319,5319,0,610.1933701657458,5,4800,314.83977900552486,960
1134,Ironing boards,0.9989270019531249,1.0,4323,4323,0,388.34806629834253,198,4356,538.6353591160221,22
1135,"Cloths, mops, sponges and brush",0.9989270019531249,1.0,9812,9812,0,1281.342541436464,8,8000,1350.4198895027625,1000
1136,Kitchen textile,0.9989270019531249,1.0,9291,9291,0,1879.8121546961327,26,12480,6371.121546961326,480
1137,Table textiles,0.9989270019531249,1.0,2134,2134,0,198.5303867403315,7,2016,124.58563535911603,288
1138,Table textiles,0.9989270019531249,1.0,1839,1839,0,189.65193370165747,6,1728,118.33149171270718,288
1139,Table textiles,0.9989270019531249,1.0,1671,1671,0,200.81767955801104,6,1728,119.90055248618785,288
1141,Bath textiles and bath mats,0.9989270019531249,1.0,40275,40275,0,8790.342541436465,23,41400,21646.198895027625,1800
1151,Outdoor toys,0.9989270019531249,1.0,1211,1211,0,559.7845303867404,1319,1319,602.1878453038674,1
1162,Light bulbs,0.9989270019531249,1.0,3278,3278,0,398.58011049723757,22,3300,449.9944751381216,150
1164,Batteries,0.9989270019531249,0.9440907336971501,72564,68507,4057,1538.403314917127,107,69550,3834.8121546961324,650
1166,Batteries,0.9989270019531249,0.9983283326189456,23330,23291,39,710.6132596685082,39,23400,1301.5690607734807,600
1167,Batteries,0.9989270019531249,0.9877538627622967,59284,58558,726,1267.657458563536,108,60480,3282.353591160221,560
1170,Tableware,0.9989270019531249,1.0,2968,2968,0,481.11049723756906,62,2976,563.7734806629834,48
1171,Stairs,0.9989270019531249,0.7089206604913412,9932,7041,2891,295.2209944751381,212,6996,376.1546961325967,33
1172,"Cloths, mops, sponges and brush",0.9989270019531249,0.9830158159597412,22256,21878,378,685.646408839779,61,20496,2793.5690607734805,336
