article_id,article_name,total_demand,demand_satisfied_from_stock,achieved_fill_rate,target_fill_rate,slow_mover,holding_cost
1111,Puzzles,92,92,1.0,0.9345953415212408,true,36.5267186858316
1126,Table paper,3940,3940,1.0,0.989105027691407,false,880.8367638603693
1127,Table paper,16478,16478,1.0,0.9974716151146513,false,78.97152197125251
1129,Kitchen tools,5969,5935,0.9943039035014241,0.9749079190903178,false,227.63738398357296
1131,Bicycle accessories,5319,5319,1.0,0.9919987299864985,false,153.8243531827516
1134,Ironing boards,4323,3114,0.7203331020124913,0.6689436955977647,false,286.464558932238
1135,"Cloths, mops, sponges and brush",9812,9701,0.9886873216469629,0.9975205347816346,false,89.86684517453796
1136,Kitchen textile,9291,9291,1.0,0.9951161138777321,false,1135.3911745379876
1137,Table textiles,2134,2088,0.9784442361761949,0.9716705767280138,false,112.35428336755649
1138,Table textiles,1839,1828,0.9940184883088635,0.9782831438884547,false,98.05578726899385
1139,Table textiles,1671,1671,1.0,0.976065157334375,false,103.92578316221768
1141,Bath textiles and bath mats,40275,40275,1.0,0.9988888681736356,false,989.1647679671455
1151,Outdoor toys,1211,1211,1.0,0.9765078467334567,true,122.33693593429163
1162,Light bulbs,3278,3278,1.0,0.993363344780734,false,51.33096550308009
1164,Batteries,72564,67108,0.9248112011465741,0.9951135665087466,false,337.8393039014373
1166,Batteries,23330,23330,1.0,0.9956865900857212,false,117.43120657084195
1167,Batteries,59284,59284,1.0,0.9901824894081553,false,416.01917330595455
1170,Tableware,2968,2637,0.8884770889487871,0.9817301879089195,false,77.3327889117043
1171,Stairs,9932,6060,0.6101490132903745,0.8988426224988932,false,333.0574472279263
1172,"Cloths, mops, sponges and brush",22256,19595,0.8804367361610352,0.9892783929128551,false,385.50206817248454
1173,Racks and pockets,14647,12800,0.8738990919642248,0.9945149592657978,false,716.7531991786445
1174,Store kitchen,3367,3367,1.0,0.92961376807569,false,595.7268845995892
1178,Baskets,7854,7716,0.9824293353705118,0.9843059686433098,false,101.32271457905543
1180,Construction,744,744,1.0,0.9219527330061926,true,170.14475975359355
1182,Laundry baskets,15616,9264,0.5932377049180327,0.9421284218497126,false,326.13522628336756
1183,Baskets,6644,6572,0.9891631547260686,0.9893568813607561,false,65.03219917864475
1184,Baskets,7237,7237,1.0,0.9942747986008632,false,275.86782094455856
1186,Cleaning products,612,612,1.0,0.9899445668582157,true,65.15243531827514
1187,Suitcases,691,581,0.8408104196816208,0.8681659757935234,false,91.74798234086248
1188,Cleaning products,6544,6544,1.0,0.9830480542120318,false,157.97712114989736
1189,Wash treatment and accessories,308,308,1.0,0.9823668440733409,false,636.9859741273099
1191,Cleaning products,39534,29721,0.7517832751555623,0.9889458926547857,false,174.24171170431208
1201,Electric personal care,10934,10884,0.9954271081031645,0.9870098946337826,false,72.65909158110878
1202,Kitchen appliances,308,308,1.0,0.8125354058875112,false,736.3121133470223
1205,Kitchen tools,32617,32617,1.0,0.998169365564476,false,238.9096607802875
1209,Cooking pans,13941,9290,0.6663797432035005,0.9226157947111553,false,308.29012484599576
