article_id,article_name,target_fill_rate,realized_fill_rate,total_demand,filled_demand,lost_sales,avg_on_hand,orders_placed,units_ordered,avg_R,Q
1111,Puzzles,0.9988781738281249,1.0,92,92,0,34.790055248618785,96,96,30.39779005524862,1
1126,Table paper,0.9988781738281249,1.0,3940,3940,0,3916.657458563536,3,3024,3606.988950276243,1008
1127,Table paper,0.9988781738281249,1.0,16478,16478,0,793.7790055248619,16,16128,893.9558011049724,1008
1129,Kitchen tools,0.9988781738281249,0.9968168872507958,5969,5950,19,314.1491712707182,11,5720,143.65193370165747,520
1131,Bicycle accessories,0.9988781738281249,1.0,5319,5319,0,609.1933701657458,5,4800,313.50276243093924,960
1134,Ironing boards,0.9988781738281249,1.0,4323,4323,0,386.83425414364643,198,4356,537.2596685082873,22
1135,"Cloths, mops, sponges and brush",0.9988781738281249,1.0,9812,9812,0,1277.342541436464,8,8000,1345.779005524862,1000
1136,Kitchen textile,0.9988781738281249,1.0,9291,9291,0,1873.8121546961327,26,12480,6365.2209944751385,480
1137,Table textiles,0.9988781738281249,1.0,2134,2134,0,197.5303867403315,7,2016,124.00552486187846,288
1138,Table textiles,0.9988781738281249,1.0,1839,1839,0,188.060773480663,6,1728,117.88950276243094,288
1139,Table textiles,0.9988781738281249,1.0,1671,1671,0,199.81767955801104,6,1728,119.34254143646409,288
1141,Bath textiles and bath mats,0.9988781738281249,1.0,40275,40275,0,8762.342541436465,23,41400,21618.13259668508,1800
1151,Outdoor toys,0.9988781738281249,1.0,1211,1211,0,558.5469613259669,1319,1319,600.8618784530387,1
1162,Light bulbs,0.9988781738281249,1.0,3278,3278,0,396.58011049723757,22,3300,448.24309392265195,150
1164,Batteries,0.9988781738281249,0.9439942671297062,72564,68500,4064,1538.2099447513813,107,69550,3827.6077348066297,650
1166,Batteries,0.9988781738281249,0.9981997428204029,23330,23288,42,710.4475138121547,39,23400,1298.2651933701657,600
1167,Batteries,0.9988781738281249,0.9876357870589029,59284,58551,733,1267.3867403314916,108,60480,3275.790055248619,560
1170,Tableware,0.9988781738281249,1.0,2968,2968,0,479.11049723756906,62,2976,561.8397790055249,48
1171,Stairs,0.9988781738281249,0.7088199758356827,9932,7040,2892,294.30386740331494,212,6996,375.1546961325967,33
1172,"Cloths, mops, sponges and brush",0.9988781738281249,0.9828810208483105,22256,21875,381,681.585635359116,61,20496,2790.519337016575,336
1173,Racks and pockets,0.9988781738281249,1.0,14647,14647,0,12218.756906077348,1,7200,10245.895027624309,7200
1174,Store kitchen,0.9988781738281249,1.0,3367,3367,0,1351.132596685083,28,3024,1493.4088397790056,108
1178,Baskets,0.9988781738281249,0.9979628214922333,7854,7838,16,269.8011049723757,22,7920,207.9889502762431,360
1180,Construction,0.9988781738281249,1.0,744,744,0,245.85635359116023,777,777,295.7513812154696,1
1182,Laundry baskets,0.9988781738281249,0.7722207991803278,15616,12059,3557,421.21546961325964,190,12160,544.2707182320441,64
1183,Baskets,0.9988781738281249,1.0,6644,6644,0,264.37016574585635,18,6480,182.50828729281767,360
1184,Baskets,0.9988781738281249,1.0,7237,7237,0,986.6077348066299,26,7280,2327.3591160220994,280
1185,Table textiles,0.9988781738281249,1.0,8800,8800,0,12159.160220994476,10341,10341,16669.14364640884,1
1186,Cleaning products,0.9988781738281249,1.0,612,612,0,886.9337016574585,0,0,170.59116022099448,864
1187,Suitcases,0.9988781738281249,0.9971056439942113,691,689,2,76.1878453038674,31,651,89.06629834254143,21
1188,Cleaning products,0.9988781738281249,0.9836491442542787,6544,6437,107,383.74585635359114,12,5976,363.47513812154693,498
1189,Wash treatment and accessories,0.9988781738281249,1.0,308,308,0,8314.729281767955,0,0,7742.828729281768,480
1191,Cleaning products,0.9988781738281249,0.8787119947387059,39534,34739,4795,1450.1657458563536,74,35520,1749.0220994475137,480
1201,Electric personal care,0.9988781738281249,0.9833546734955185,10934,10752,182,163.5027624309392,539,10780,330.1270718232044,20
