article_id,article_name,total_demand,demand_satisfied_from_stock,achieved_fill_rate,target_fill_rate,slow_mover,holding_cost
1111,Puzzles,92,92,1.0,0.9681786095326581,true,45.280128131416824
1126,Table paper,3940,3940,1.0,0.9946992587985883,false,899.8683006160163
1127,Table paper,16478,16478,1.0,0.9987698625058254,false,83.04574620123202
1129,Kitchen tools,5969,5964,0.9991623387502094,0.9877919260976733,false,241.30679712525674
1131,Bicycle accessories,5319,5319,1.0,0.9961071345183011,false,160.91429815195067
1134,Ironing boards,4323,3751,0.8676844783715013,0.838930862509129,false,443.58926981519534
1135,"Cloths, mops, sponges and brush",9812,9762,0.9949041989400734,0.9987936634377592,false,94.25581930184802
1136,Kitchen textile,9291,9291,1.0,0.9976238382569463,false,1150.7827084188907
1137,Table textiles,2134,2115,0.9910965323336457,0.9862168588504252,false,120.9389626283368
1138,Table textiles,1839,1839,1.0,0.989434077417085,false,104.20559630390137
1139,Table textiles,1671,1671,1.0,0.9883549583171573,false,112.01762217659137
1141,Bath textiles and bath mats,40275,40275,1.0,0.9994593999796068,false,1003.4084168377825
1151,Outdoor toys,1211,1211,1.0,0.9885703404099864,true,142.43175975359324
1162,Light bulbs,3278,3278,1.0,0.9967710618472541,false,55.47743203285422
1164,Batteries,72564,67251,0.9267818753100711,0.9976225988830999,false,361.81915934291584
1166,Batteries,23330,23330,1.0,0.9979013925870044,false,125.71967227926076
1167,Batteries,59284,59284,1.0,0.9952234772686442,false,455.49133388090377
1170,Tableware,2968,2667,0.8985849056603774,0.9911111710107922,false,86.03684476386034
1171,Stairs,9932,6131,0.6172976238421265,0.9507838052673202,false,391.0303835728951
1172,"Cloths, mops, sponges and brush",22256,19791,0.8892433501078361,0.9947836063440609,false,409.0550932238193
1173,Racks and pockets,14647,12989,0.886802758244009,0.9973313579339458,false,745.4114377823407
1174,Store kitchen,3367,3367,1.0,0.9657549198836387,false,685.3669297741272
1178,Baskets,7854,7750,0.9867583396995162,0.9923643680523133,false,108.60990431211502
1180,Construction,744,744,1.0,0.962027589231654,true,209.0716303901436
1182,Laundry baskets,15616,9523,0.6098232581967213,0.9718436862432414,false,366.2923893223817
1183,Baskets,6644,6611,0.9950331125827815,0.9948217934029941,false,69.08047885010268
1184,Baskets,7237,7237,1.0,0.9972145123380581,false,286.9836484599586
1186,Cleaning products,612,612,1.0,0.995107720584966,true,68.55529774127311
1187,Suitcases,691,603,0.8726483357452967,0.9358586672764645,false,109.75545215605753
1188,Cleaning products,6544,6544,1.0,0.9917523537520598,false,169.30602464065697
1189,Wash treatment and accessories,308,308,1.0,0.9914209239377655,false,729.453039014374
1191,Cleaning products,39534,30333,0.7672636211868266,0.9946218346784241,false,190.44906611909653
1201,Electric personal care,10934,10916,0.9983537589171392,0.9936799117267073,false,79.76395071868582
1202,Kitchen appliances,308,308,1.0,0.90879267338438,false,1147.1307494866528
1205,Kitchen tools,32617,32617,1.0,0.9991093396933692,false,243.88654579055435
1209,Cooking pans,13941,9553,0.6852449609066782,0.9623501892712889,false,373.2014439425053
1218,Personal care,7639,7639,1.0,0.9975185408726946,false,47.35130020533881
1243,Photo frames & albums,17610,17610,1.0,0.9982365094778446,false,100.73108952772078
1245,Clocks,11810,10608,0.8982218458933108,0.9955258513975587,false,648.5124299794657
1248,Coffee makers and kettles,22220,22096,0.9944194419441944,0.9217162534450223,false,10840.341721971256
1253,Frying pans,5926,5926,1.0,0.9862861980068394,false,215.7860476386037
1262,Construction,274,274,1.0,0.9880049778429415,true,131.8754809034907
1272,Hobby and creative,16598,15707,0.9463188335944089,0.989254221372073,false,301.4233634496915
1282,Table paper,17848,17642,0.9884580905423577,0.9956875181284874,false,1464.539502669406
1283,Measuring and weighing,17922,5106,0.28490123870103784,0.9956815309708235,false,108.29948377823408
1284,Ironing boards,5848,5378,0.9196306429548564,0.8668609240088303,false,207.09154743326485
1286,Ironing boards,16453,16453,1.0,0.9959425928188859,false,1061.3999096509235
1288,Drying racks,4537,4537,1.0,0.9543305151294952,false,11133.659967967138
1289,Bicycle accessories,5244,5171,0.9860793287566743,0.9876989179615916,false,312.7744312114989
1290,Window and squeegees,50817,30248,0.5952338784265108,0.994228688207985,false,2614.173429158111
1293,Table textiles,904,904,1.0,0.9852950084111726,false,118.89052977412732
1294,Bed textile,3886,2644,0.6803911477097272,0.972646043560937,false,2333.60279835729
1296,Bath textiles and bath mats,26880,26880,1.0,0.9935748703954773,false,4562.35307392197
1304,Tableware,5563,5563,1.0,0.990486982381893,true,232.56482340862428
1307,Suitcases,491,481,0.9796334012219959,0.8827105475298691,false,168.61882012320314
1314,Dishwashing articles,284,284,1.0,0.9899074779947794,false,5262.295748665294
1316,Cutlery,2105,2105,1.0,0.9986585243386319,false,16.887349075975358
1318,Foods,634,634,1.0,0.9973038824921424,false,68.89016796714581
1321,Vases,434,434,1.0,0.9940917272797775,false,61.676646406570846
1322,"Glasses (drink, beer, wine etc)",417,417,1.0,0.9974921932363789,false,57.17430390143735
1327,Tableware,4841,4841,1.0,0.9956702403581819,false,63.68453388090346
1330,Cutlery,2487,2487,1.0,0.990808715633179,false,71.52867351129365
1333,Cutlery,418,418,1.0,0.9888022977013696,true,24.154381108829565
1334,Hobby and creative,1836,1836,1.0,0.9961292043349563,true,29.456468583162216
1337,Hobby and creative,6390,6390,1.0,0.9918739200590936,false,81.41471457905544
1340,Games,5073,5073,1.0,0.9759000742700921,true,226.4928049281313
1347,Stuffed animals,3581,3559,0.9938564646746719,0.9918528994037932,false,43.28176755646814
1352,Hobby and creative,252,252,1.0,0.965851266133366,true,1053.7802731006163
1356,"Glasses (drink, beer, wine etc)",8720,8426,0.9662844036697248,0.9920733842997176,false,179.35831211498962
1357,"Glasses (drink, beer, wine etc)",1325,1325,1.0,0.9965304813635344,false,78.8199252566735
