article_id,article_name,target_fill_rate,realized_fill_rate,total_demand,filled_demand,lost_sales,avg_on_hand,orders_placed,units_ordered,avg_R,Q
1111,Puzzles,0.998902587890625,1.0,92,92,0,34.79558011049724,96,96,30.430939226519335,1
1126,Table paper,0.998902587890625,1.0,3940,3940,0,3924.657458563536,3,3024,3615.3922651933703,1008
1127,Table paper,0.998902587890625,1.0,16478,16478,0,794.7790055248619,16,16128,895.232044198895,1008
1129,Kitchen tools,0.998902587890625,0.9968168872507958,5969,5950,19,314.1491712707182,11,5720,143.93370165745856,520
1131,Bicycle accessories,0.998902587890625,1.0,5319,5319,0,610.1933701657458,5,4800,314.1325966850829,960
1134,Ironing boards,0.998902587890625,1.0,4323,4323,0,387.5911602209945,198,4356,537.9558011049724,22
1135,"Cloths, mops, sponges and brush",0.998902587890625,1.0,9812,9812,0,1279.342541436464,8,8000,1348.121546961326,1000
1136,Kitchen textile,0.998902587890625,1.0,9291,9291,0,1876.8121546961327,26,12480,6368.1270718232045,480
1137,Table textiles,0.998902587890625,1.0,2134,2134,0,198.5303867403315,7,2016,124.32596685082873,288
1138,Table textiles,0.998902587890625,1.0,1839,1839,0,189.65193370165747,6,1728,118.08839779005525,288
1139,Table textiles,0.998902587890625,1.0,1671,1671,0,200.81767955801104,6,1728,119.65193370165746,288
1141,Bath textiles and bath mats,0.998902587890625,1.0,40275,40275,0,8776.342541436465,23,41400,21632.005524861877,1800
1151,Outdoor toys,0.998902587890625,1.0,1211,1211,0,559.3314917127071,1319,1319,601.5082872928177,1
1162,Light bulbs,0.998902587890625,1.0,3278,3278,0,397.58011049723757,22,3300,449.09944751381215,150
1164,Batteries,0.998902587890625,0.944035609944325,72564,68503,4061,1538.292817679558,107,69550,3831.1436464088397,650
1166,Batteries,0.998902587890625,0.9982426060865838,23330,23289,41,710.5027624309392,39,23400,1299.8397790055249,600
1167,Batteries,0.998902587890625,0.9877032588894137,59284,58555,729,1267.5414364640883,108,60480,3279.038674033149,560
1170,Tableware,0.998902587890625,1.0,2968,2968,0,480.11049723756906,62,2976,562.7900552486187,48
1171,Stairs,0.998902587890625,0.7089206604913412,9932,7041,2891,294.49171270718233,212,6996,375.71270718232046,33
1172,"Cloths, mops, sponges and brush",0.998902587890625,0.9829259525521208,22256,21876,380,685.414364640884,61,20496,2792.038674033149,336
1173,Racks and pockets,0.998902587890625,1.0,14647,14647,0,12223.756906077348,1,7200,10250.955801104972,7200
1174,Store kitchen,0.998902587890625,1.0,3367,3367,0,1353.132596685083,28,3024,1495.8508287292818,108
1178,Baskets,0.998902587890625,0.9980901451489687,7854,7839,15,269.83977900552486,22,7920,208.48066298342542,360
1180,Construction,0.998902587890625,1.0,744,744,0,246.09944751381215,777,777,296.10497237569064,1
1182,Laundry baskets,0.998902587890625,0.7722207991803278,15616,12059,3557,421.9226519337017,190,12160,544.9668508287293,64
1183,Baskets,0.998902587890625,1.0,6644,6644,0,264.37016574585635,18,6480,183.00552486187846,360
1184,Baskets,0.998902587890625,1.0,7237,7237,0,988.6077348066299,26,7280,2329.2983425414363,280
1185,Table textiles,0.998902587890625,1.0,8800,8800,0,12169.132596685084,10341,10341,16679.016574585636,1
1186,Cleaning products,0.998902587890625,1.0,612,612,0,886.9337016574585,0,0,171.15469613259668,864
1187,Suitcases,0.998902587890625,0.9971056439942113,691,689,2,76.1878453038674,31,651,89.22099447513813,21
1188,Cleaning products,0.998902587890625,0.98380195599022,6544,6438,106,383.7955801104972,12,5976,364.03867403314916,498
1189,Wash treatment and accessories,0.998902587890625,1.0,308,308,0,8329.729281767955,0,0,7757.50276243094,480
1191,Cleaning products,0.998902587890625,0.8788131734709365,39534,34743,4791,1453.1270718232045,74,35520,1752.1049723756905,480
1201,Electric personal care,0.998902587890625,0.9833546734955185,10934,10752,182,163.8342541436464,539,10780,330.4806629834254,20
1202,Kitchen appliances,0.998902587890625,1.0,308,308,0,1385.220994475138,98,98,1297.5027624309391,1
1205,Kitchen tools,0.998902587890625,0.9835361927829046,32617,32080,537,3425.3204419889503,5,30240,957.414364640884,6048
1209,Cooking pans,0.998902587890625,0.8284914998924037,13941,11550,2391,827.4198895027624,116,12992,1234.878453038674,112
1218,Personal care,0.998902587890625,1.0,7639,7639,0,1455.0828729281768,596,7152,1714.3812154696132,12
1243,Photo frames & albums,0.998902587890625,1.0,17610,17610,0,700.7624309392265,40,17600,1143.524861878453,440
1245,Clocks,0.998902587890625,1.0,11810,11810,0,4844.674033149171,3,11340,6639.613259668508,3780
1247,Gift cards,0.998902587890625,1.0,0,0,0,3049.0,0,0,49.0,3000
1248,Coffee makers and kettles,0.998902587890625,0.9893339333933393,22220,21983,237,907.4033149171271,81,22680,1634.121546961326,280
1253,Frying pans,0.998902587890625,1.0,5926,5926,0,540.9116022099447,25,6000,642.6353591160221,240
1258,Reading glasses,0.998902587890625,1.0,553,553,0,2616.441988950276,0,0,402.54696132596683,2500
1259,Serve and present,0.998902587890625,1.0,3574,3574,0,2587.232044198895,3932,3932,4398.453038674033,1
1260,Serve and present,0.998902587890625,1.0,1373,1373,0,1956.4088397790056,1988,1988,2856.1215469613257,1
1261,Reading glasses,0.998902587890625,1.0,3676,3676,0,2914.480662983425,1,2500,2515.53591160221,2500
1262,Construction,0.998902587890625,1.0,274,274,0,93.77348066298343,284,284,113.17127071823204,1
1263,Tableware,0.998902587890625,1.0,2850,2850,0,2256.6187845303866,107,2568,3424.209944751381,24
1264,Tableware,0.998902587890625,1.0,2657,2657,0,1902.8839779005525,1483,2966,3445.314917127072,2
1272,Hobby and creative,0.998902587890625,0.9573442583443789,16598,15890,708,556.1878453038674,1973,15784,1244.7237569060774,8
1282,Table paper,0.998902587890625,1.0,17848,17848,0,6422.458563535912,48,15840,8429.707182320442,330
1283,Measuring and weighing,0.998902587890625,1.0,17922,17922,0,9393.883977900552,6,13824,13998.972375690608,2304
1284,Ironing boards,0.998902587890625,0.9948700410396717,5848,5818,30,123.40331491712708,164,5904,201.18232044198896,36
1286,Ironing boards,0.998902587890625,1.0,16453,16453,0,4498.0,4,13440,6381.812154696133,3360
1288,Drying racks,0.998902587890625,1.0,4537,4537,0,5130.226519337017,4,4800,6529.099447513812,1200
1289,Bicycle accessories,0.998902587890625,0.9996186117467581,5244,5242,2,433.0773480662983,8,4800,315.9281767955801,600
1290,Window and squeegees,0.998902587890625,0.9409843162721137,50817,47818,2999,3300.977900552486,93,37200,7365.67955801105,400
1293,Table textiles,0.998902587890625,1.0,904,904,0,184.1988950276243,3,864,67.6353591160221,288
1294,Bed textile,0.998902587890625,1.0,3886,3886,0,565.0386740331492,3376,3376,1297.0220994475137,1
1296,Bath textiles and bath mats,0.998902587890625,0.7738467261904762,26880,20801,6079,4480.696132596685,137,69048,21131.39779005525,504
1304,Tableware,0.998902587890625,1.0,5563,5563,0,584.3756906077348,260,6240,796.9613259668508,24
1307,Suitcases,0.998902587890625,1.0,491,491,0,74.39226519337016,17,391,74.05524861878453,23
1311,Table textiles,0.998902587890625,1.0,8480,8480,0,10399.779005524862,8242,8242,14179.585635359115,1
1314,Dishwashing articles,0.998902587890625,1.0,284,284,0,13246.729281767955,0,0,12514.839779005524,1
1316,Cutlery,0.998902587890625,1.0,2105,2105,0,300.56353591160223,9,2160,255.12707182320443,240
