minimum_fill_rate,common_sku_target_used,realized_total_fill_rate,sum_avg_on_hand,orders_placed,units_ordered
0.5,0.999,0.9559015759486373,4126363.447513812,1213981,19369498
0.6,0.999,0.9560120861935416,4130244.955801105,1214052,19371995
0.7,0.999,0.9561125852258878,4134404.1878453037,1214117,19373786
0.8,0.999,0.9562071839300597,4138578.309392265,1214198,19375993
