article_id,article_name,total_demand,demand_satisfied_from_stock,achieved_fill_rate,target_fill_rate,slow_mover,holding_cost
1111,Puzzles,92,92,1.0,0.9999968196442064,true,260.90006735112905
1126,Table paper,3940,3940,1.0,0.9999994702229305,false,1060.96201724846
1127,Table paper,16478,16478,1.0,0.9999998770551868,false,118.76894537987677
1129,Kitchen tools,5969,5969,1.0,0.9999987798767435,false,327.93559753593433
1131,Bicycle accessories,5319,5319,1.0,0.9999996109316058,false,203.74938234086233
1134,Ironing boards,4323,4323,1.0,0.9999839021124761,false,1515.4150714579064
1135,"Cloths, mops, sponges and brush",9812,9812,1.0,0.9999998794339462,false,133.8246143737166
1136,Kitchen textile,9291,9291,1.0,0.9999997625169845,false,1291.2923716632442
1137,Table textiles,2134,2134,1.0,0.9999986224582846,false,186.0404229979466
1138,Table textiles,1839,1839,1.0,0.9999989439998501,false,148.17598275153995
1139,Table textiles,1671,1671,1.0,0.9999988361484135,false,165.43986283367545
1141,Bath textiles and bath mats,40275,40275,1.0,0.9999999459702928,false,1141.5983634496922
1151,Outdoor toys,1211,1211,1.0,0.9999988576745528,true,666.4333786447642
1162,Light bulbs,3278,3278,1.0,0.9999996772871327,false,96.08109445585211
1164,Batteries,72564,69748,0.961192878011135,0.9999997623931166,false,582.0948862423002
1166,Batteries,23330,23330,1.0,0.9999997902568635,false,199.36210431211504
1167,Batteries,59284,59284,1.0,0.9999995226154006,false,804.3289400410679
1170,Tableware,2968,2968,1.0,0.9999991116152261,false,161.62289075975366
1171,Stairs,9932,6307,0.6350181232380185,0.999995081138575,false,799.7688640657084
1172,"Cloths, mops, sponges and brush",22256,20407,0.9169212796549245,0.9999994786529582,false,620.6419630390142
1173,Racks and pockets,14647,13893,0.9485218816139824,0.9999997332853426,false,891.4274390143737
1174,Store kitchen,3367,3367,1.0,0.9999965774110636,false,1373.3922180698148
1178,Baskets,7854,7854,1.0,0.9999992368647018,false,163.22626447638604
1180,Construction,744,744,1.0,0.999996204886876,true,1252.9612340862416
1182,Laundry baskets,15616,11337,0.7259861680327869,0.9999971859464886,false,679.2967770020531
1183,Baskets,6644,6644,1.0,0.9999994824695241,false,100.4853622176591
1184,Baskets,7237,7237,1.0,0.999999721607331,false,388.30413798767944
1186,Cleaning products,612,612,1.0,0.9999995110462191,true,297.0650513347022
1187,Suitcases,691,691,1.0,0.9999935894611723,false,271.1964665297743
