article_id,article_name,total_demand,demand_satisfied_from_stock,achieved_fill_rate,target_fill_rate,slow_mover,purchasing_cost,holding_cost,total_cost
1111,Puzzles,92,54,0.5869565217391305,0.5,true,20407.855999999985,42.5317585215603,20450.387758521545
1126,Table paper,3940,3940,1.0,0.5,false,130707.36,18267.986897741277,148975.34689774128
1127,Table paper,16478,16431,0.9971477121009831,0.874999999999925,false,77767.89300000001,338.85472361396336,78106.74772361397
1129,Kitchen tools,5969,5791,0.9701792595074552,0.9374999999999125,false,418743.01700000017,1526.4550344969223,420269.47203449707
1131,Bicycle accessories,5319,5319,1.0,0.74999999999995,false,90490.76400000001,3544.9471207392185,94035.71112073923
1134,Ironing boards,4323,4323,1.0,0.74999999999995,false,1387810.7179999994,78130.81233223806,1465941.5303322375
1135,"Cloths, mops, sponges and brush",9812,9812,1.0,0.874999999999925,false,116737.09599999999,1124.3135638603703,117861.40956386036
1136,Kitchen textile,9291,9291,1.0,0.5,false,195277.00499999995,25911.064570841903,221188.06957084185
1137,Table textiles,2134,2052,0.9615745079662605,0.74999999999995,false,71751.288,684.3461141683774,72435.63411416838
1138,Table textiles,1839,1645,0.8945078847199565,0.74999999999995,false,52750.59300000001,318.59601930184823,53069.189019301855
1139,Table textiles,1671,1613,0.9652902453620587,0.74999999999995,false,65768.61899999998,637.8462554414785,66406.46525544145
1141,Bath textiles and bath mats,40275,40275,1.0,0.5,false,268855.40499999997,43613.869907597524,312469.2749075975
1162,Light bulbs,3278,3278,1.0,0.74999999999995,false,31373.061999999994,274.2657494866529,31647.32774948665
1164,Batteries,72564,72457,0.9985254396119287,0.9999995231627419,false,1243282.5859999992,6865.852612320324,1250148.4386123195
1166,Batteries,23330,23330,1.0,0.874999999999925,false,348205.9069999999,1402.791056673509,349608.6980566734
1167,Batteries,59284,59200,0.998583091559274,0.874999999999925,false,1830355.1420000014,4638.645320739222,1834993.7873207405
1170,Tableware,2968,2968,1.0,0.5,false,62773.515,1736.2047018480496,64509.71970184805
1171,Stairs,9932,7784,0.78372935964559,0.9999999403952553,false,1658578.3620000007,33689.86520082135,1692268.227200822
